node2	node1	estimate	edges
X47	X51	-6.74293959597736e-17	X51-X47
X47	X52	5.814600369044815e-17	X52-X47
X47	X54	8.181878429149873e-17	X54-X47
X47	X67	7.27925559937825e-17	X67-X47
X47	X68	-6.585242053158089e-17	X68-X47
X47	X79	-8.008144688089474e-17	X79-X47
X48	X1	1.6752451669234707e-15	X1-X48
X48	X12	-6.12387388999961e-17	X12-X48
X48	X13	1.1657232796965462e-16	X13-X48
X48	X14	6.263478303832027e-16	X14-X48
X48	X15	9.68022841614031e-16	X15-X48
X48	X17	7.640913993792802e-16	X17-X48
X48	X2	-2.3018468538976567e-15	X2-X48
X48	X22	3.3786236765230966e-16	X22-X48
X48	X23	8.642059105408728e-16	X23-X48
X48	X24	-6.380913867887943e-17	X24-X48
X48	X25	2.753786092335105e-16	X25-X48
X48	X28	5.341935297027735e-16	X28-X48
X48	X29	-6.805058482960601e-16	X29-X48
X48	X31	-1.8100495532506809e-16	X31-X48
X48	X36	3.7757610297241317e-16	X36-X48
X48	X37	-9.37665100601176e-16	X37-X48
X48	X38	4.448873780316857e-16	X38-X48
X48	X39	3.9146588201230176e-16	X39-X48
X48	X4	2.1823358451205622e-17	X4-X48
X48	X41	-2.2169270193203695e-16	X41-X48
X48	X42	-2.1266589196381526e-15	X42-X48
X48	X43	-3.7063073396873317e-16	X43-X48
X48	X45	3.805626116681363e-16	X45-X48
X48	X48	0.999999999999994	X48-X48
X48	X54	3.085004015594521e-16	X54-X48
X48	X67	3.114804184048819e-16	X67-X48
X48	X68	-2.483944534432657e-16	X68-X48
X48	X83	-3.2857885791125485e-16	X83-X48
X49	X13	1.1135478655311835e-15	X13-X49
X49	X14	-1.5502007686904772e-14	X14-X49
X49	X17	-2.855623995234044e-15	X17-X49
X49	X22	4.0481422052314415e-15	X22-X49
X49	X23	-2.215598383427005e-15	X23-X49
X49	X25	1.876830213509559e-15	X25-X49
X49	X30	-2.8366653901980937e-15	X30-X49
X49	X33	3.4261125218194397e-15	X33-X49
X49	X35	7.073623374118131e-15	X35-X49
X49	X37	-5.074515582916961e-15	X37-X49
X49	X38	-2.9553829473337343e-15	X38-X49
X49	X39	-8.637728105601452e-15	X39-X49
X49	X4	3.8826358018429484e-16	X4-X49
X49	X41	6.211044364789888e-16	X41-X49
X49	X43	4.542524949581723e-15	X43-X49
X49	X48	2.467227130039658e-15	X48-X49
X49	X49	1.000000000000003	X49-X49
X49	X54	2.3451401175539353e-15	X54-X49
X49	X63	2.0125363631395907e-15	X63-X49
X49	X83	-2.7640013862451606e-15	X83-X49
X49	X84	-2.0640688103726735e-15	X84-X49
X5	X10	2.944591024780266e-14	X10-X5
X5	X100	-4.02958882707285e-16	X100-X5
X5	X12	-3.5251522993672934e-15	X12-X5
X5	X13	-1.1627864903408951e-13	X13-X5
X5	X14	-5.584898921341986e-14	X14-X5
X5	X15	1.5795243487245227e-13	X15-X5
X5	X17	1.335950463133817e-13	X17-X5
X5	X20	2.0998132346603937e-14	X20-X5
X5	X21	4.292250857196086e-14	X21-X5
X5	X22	1.6511711437484744e-14	X22-X5
X5	X23	1.2783428561151128e-14	X23-X5
X5	X24	1.5785132109838643e-15	X24-X5
X5	X25	4.394790586474079e-14	X25-X5
X5	X26	-4.716486328164434e-15	X26-X5
X5	X28	1.962377270315767e-14	X28-X5
X5	X29	-1.0754206232889528e-13	X29-X5
X5	X3	-1.765008635132277e-14	X3-X5
X5	X31	-1.0118286409120628e-14	X31-X5
X5	X38	-1.6236371071684256e-14	X38-X5
X5	X4	-2.8960291343666684e-16	X4-X5
X5	X41	2.6212291289988822e-15	X41-X5
X5	X42	3.1558467940848843e-15	X42-X5
X5	X43	-9.284364810434796e-15	X43-X5
X5	X44	1.2147972068205293e-15	X44-X5
X5	X47	-7.991490672959256e-15	X47-X5
X5	X48	9.801528415747422e-15	X48-X5
X5	X5	1.000000000000002	X5-X5
X5	X54	6.943257279489386e-15	X54-X5
X5	X83	-1.0214050350118188e-14	X83-X5
X5	X84	-7.030180001062521e-15	X84-X5
X50	X17	-1.4103539803248425e-15	X17-X50
X50	X28	-2.637981320213079e-15	X28-X50
X50	X30	1.470093507421052e-15	X30-X50
X50	X35	-1.9139461143695942e-15	X35-X50
X50	X36	-2.5812105058594437e-15	X36-X50
X50	X37	2.3800720838768317e-15	X37-X50
X50	X38	4.003987466649026e-15	X38-X50
X50	X39	2.2384845577323298e-15	X39-X50
X50	X4	5.693561604439669e-17	X4-X50
X50	X41	-3.5746318803804023e-16	X41-X50
X50	X45	1.5900576493950386e-15	X45-X50
X50	X46	-3.2920224579979512e-15	X46-X50
X50	X47	-1.4177042902808546e-15	X47-X50
X50	X49	-2.453540125618008e-16	X49-X50
X50	X50	0.9999999999999998	X50-X50
X50	X54	-1.0590316039392395e-15	X54-X50
X50	X84	1.470579425663137e-15	X84-X50
X51	X1	-1.5570366926801533e-16	X1-X51
X51	X14	2.1011489003941698e-17	X14-X51
X51	X17	8.107260016983013e-17	X17-X51
X51	X2	-1.370248305027854e-17	X2-X51
X51	X22	-1.4992969193091165e-17	X22-X51
X51	X28	2.201576462211164e-17	X28-X51
X51	X29	-4.601591482999958e-17	X29-X51
X51	X33	-1.266709680522765e-17	X33-X51
X51	X35	1.3398192954597854e-17	X35-X51
X51	X37	1.6620770383196293e-17	X37-X51
X51	X39	-4.2886351873080525e-17	X39-X51
X51	X42	-1.2827118392342204e-17	X42-X51
X51	X43	-1.3942570705543238e-17	X43-X51
X51	X47	-1.9654333049098117e-17	X47-X51
X51	X48	-3.7696423647457436e-17	X48-X51
X51	X49	-2.4982673409128026e-18	X49-X51
X51	X51	0.9999999999999999	X51-X51
X51	X52	-7.969044321681239e-18	X52-X51
X52	X1	-2.6447835818965697e-16	X1-X52
X52	X10	-4.0573735545380825e-16	X10-X52
X52	X14	2.7063751832205824e-16	X14-X52
X52	X15	-3.961759594352122e-15	X15-X52
X52	X17	2.6395314912895744e-16	X17-X52
X52	X20	1.130996578676115e-16	X20-X52
X52	X21	1.4443168113578785e-15	X21-X52
X52	X22	-1.840215107352442e-16	X22-X52
X52	X24	-1.4313070057011468e-17	X24-X52
X52	X29	-4.499454974276436e-16	X29-X52
X52	X35	2.146689693438919e-16	X35-X52
X52	X38	2.327476810659922e-16	X38-X52
X52	X39	2.8997092908715475e-16	X39-X52
X52	X47	-4.492091867773717e-16	X47-X52
X52	X51	-2.0109875460677067e-16	X51-X52
X52	X52	1.0000000000000022	X52-X52
X52	X70	2.1408224155026345e-16	X70-X52
X52	X71	-2.1769484460964037e-16	X71-X52
X52	X85	-3.640173978611938e-17	X85-X52
X53	X10	1.1627824002727877e-14	X10-X53
X53	X13	-1.7164009744526704e-13	X13-X53
X53	X15	-1.1993970341448532e-13	X15-X53
X53	X17	-1.9869742907474315e-14	X17-X53
X53	X21	1.1539825534598602e-14	X21-X53
X53	X22	-7.921528602166411e-15	X22-X53
X53	X25	1.1487728368307635e-14	X25-X53
X53	X26	-9.547495562428256e-16	X26-X53
X53	X27	1.0908409607725053e-14	X27-X53
X53	X29	1.098312264417479e-14	X29-X53
X53	X3	2.129684313912732e-14	X3-X53
X53	X30	-9.112357928986866e-15	X30-X53
X53	X32	-7.996595914409335e-15	X32-X53
X53	X34	3.4963150526134306e-16	X34-X53
X53	X35	-1.3045658437171348e-14	X35-X53
X53	X38	2.190259429802321e-14	X38-X53
X53	X39	8.018969366230638e-15	X39-X53
X53	X4	4.234453735057876e-16	X4-X53
X53	X41	1.7694284225218037e-15	X41-X53
X53	X43	-1.3389379796599617e-14	X43-X53
X53	X45	-1.1354624676086771e-14	X45-X53
X53	X47	-1.0579950819806713e-14	X47-X53
